Name,Chosen Name,URL
Alwyn John,Alwyn John,https://www.aph.gov.au/senate/los
Alexander Doug,Alexander Doug,https://www.aph.gov.au/senate/los
Ainsworth Barry,Ainsworth Barry,https://www.aph.gov.au/senate/los
Alston Richard,Alston Richard,https://www.aph.gov.au/senate/los
Addington Bruce,Addington Bruce,https://www.aph.gov.au/senate/los
Adams Scott,Ada Scott,https://www.aph.gov.au/senate/los
Abercrombie Neil,Abercrombie Neil,https://www.aph.gov.au/senate/los
Aloisi Kate,Aloisi Kate,https://www.aph.gov.au/senate/los
Adermann John,Adermann John,https://www.aph.gov.au/senate/los
Ambrose Andrew,Ambrose Andrew,https://www.aph.gov.au/senate/los
Alexander Kelvin,Alexander Kelvin,https://www.aph.gov.au/senate/los
Abetz Eric,Abetz Eric,https://www.aph.gov.au/senate/los
Ali Abu,Ali Abu,https://www.aph.gov.au/senate/los
Adams George,Ada George,https://www.aph.gov.au/senate/los
Akiba Takeo,Akiba Takeo,https://www.aph.gov.au/senate/los
Ajaka John,Ajaka John,https://www.aph.gov.au/senate/los
Senator Rachel Siewert,Rachel Siewert,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Concetta Fierravanti-Wells,Concetta Fierravanti-Wells,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Zed Seselja,Zed Seselja,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Michaelia Cash,Michaelia Cash,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon James Paterson,James Paterson,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Mitch Fifield,Mitch Fifield,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Doug Cameron,Doug Cameron,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Helen Polley,Helen Polley,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Linda Reynolds CSC,Linda IReynolds,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon George Brandis QC,George Brandis,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Mr Patrick Dodson,Patrick Dodson,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Joe Ludwig,Joe Ludwig,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Eric Abetz,Eric Abetz,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator Simon Birmingham,Simon Birmingham,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Anne McEwen,Anne McEwen,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Simon Busuttil,Simon Busuttil,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon James McGrath,James McGrath,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Ursula Stephens,Ursula Stephens,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Gavin Marshall,Gavin Marshall,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Senator the Hon Amanda Stoker,Amanda Stoker,https://www.aph.gov.au/Senators_and_Members/Parliamentarian_Search_Results?q=&mem=1&par=-1&gen=0&ps=0
Minister for the Environment Sussan Ley,Sussan Ley,https://www.pm.gov.au/your-government
Minister for Foreign Affairs Marise Payne,Marise Payne,https://www.pm.gov.au/your-government
Minister for Health Greg Hunt,Greg Hunt,https://www.pm.gov.au/your-government
Deputy Prime Minister Michael McCormack,DeputyMichaelMcCormackDeputy McCormack,https://www.pm.gov.au/your-government
Minister for Infrastructure Transport and Regional Development Michael McCormack,Michael McCormack,https://www.pm.gov.au/your-government
Minister for Employment Skills Small and Family Business Michaelia Cash,Michaelia Cash,https://www.pm.gov.au/your-government
Prime Minister Scott Morrison,Scott Morrison,https://www.pm.gov.au/your-government
Attorney-General Christian Porter,Christian Porter,https://www.pm.gov.au/your-government
Minister for Home Affairs Peter Dutton,Peter Dutton,https://www.pm.gov.au/your-government
Minister for Finance Mathias Cormann,Mathias Cormann,https://www.pm.gov.au/your-government
Minister for Industry Science and Technology Karen Andrews,Karen Andrews,https://www.pm.gov.au/your-government
Scott Morrison,Scott Morrison,https://www.pm.gov.au/your-government
Marise Payne,Marise Payne,https://www.pm.gov.au/your-government
Paul Fletcher,Paul Fletcher,https://www.pm.gov.au/your-government
Peter Dutton,Peter Dutton,https://www.pm.gov.au/your-government
Stuart Robert,Stuart Robert,https://www.pm.gov.au/your-government
Andrew Robb,Andrew Robb,https://www.pm.gov.au/your-government
Alan Tudge,Alan Tudge,https://www.pm.gov.au/your-government
Dan Tehan,Dan Tehan,https://www.pm.gov.au/your-government
Christian Porter,Christian Porter,https://www.pm.gov.au/your-government
Josh Frydenberg,Josh Frydenberg,https://www.pm.gov.au/your-government
Karen Andrews,Karen Andrews,https://www.pm.gov.au/your-government
Mathias Cormann,Mathias Cormann,https://www.pm.gov.au/your-government
Michael Keenan,Michael Keenan,https://www.pm.gov.au/your-government
David Littleproud,David Littleproud,https://www.pm.gov.au/your-government
Melinda Pavey,Melinda Pavey,https://www.pm.gov.au/your-government
Greg Hunt,Greg Hunt,https://www.pm.gov.au/your-government
Angus Taylor,Angus Taylor,https://www.pm.gov.au/your-government
David Coleman,David Coleman,https://www.pm.gov.au/your-government
Michael McCormack,Michael McCormack,https://www.pm.gov.au/your-government
The Hon Ken Wyatt AM MP,Ken Wyatt,https://www.pm.gov.au/your-government
The Hon Peter Dutton MP,Peter Dutton,https://www.pm.gov.au/your-government
The Hon Scott Morrison MP,Scott Morrison,https://www.pm.gov.au/your-government
The Hon Angus Taylor MP,Angus Taylor,https://www.pm.gov.au/your-government
The Hon Sussan Ley MP,Sussan Ley,https://www.pm.gov.au/your-government
The Hon Angus Stewart MP,Angus Stewart,https://www.pm.gov.au/your-government
The Hon Greg Hunt MP,Greg Hunt,https://www.pm.gov.au/your-government
The Hon Steven Ciobo MP,Steven Ciobo,https://www.pm.gov.au/your-government
The Hon Alan Tudge MP,Alan Tudge,https://www.pm.gov.au/your-government
The Hon Dan Tehan MP,Dan Tehan,https://www.pm.gov.au/your-government
The Hon Michael Keenan MP,Michael Keenan,https://www.pm.gov.au/your-government
Senator the Hon Simon Birmingham,Simon Birmingham,https://www.pm.gov.au/your-government
Julie Bishop,Julie Bishop,https://www.pm.gov.au/your-government
Senator the Hon Andrew Bragg,Andrew Bragg,https://www.gg.gov.au/
Mrs LINDA REYNOLDS CSC,ILinda IReynolds,https://www.gg.gov.au/
Ms JULIE BISHOP MP,Julie Bishop,https://www.gg.gov.au/
.pdf,.pdf,https://www.gg.gov.au/
Senator the Hon Mathias Cormann,Mathias Cormann,https://www.gg.gov.au/
Chrystia Freeland,Chrystia Freeland,https://pm.gc.ca/en/parliamentary-secretaries
Jean-Yves Duclos,Jean-Yves Duclos,https://pm.gc.ca/en/parliamentary-secretaries
Bill Blair,Bill Blair,https://pm.gc.ca/en/parliamentary-secretaries
Jim Carr,Jim Carr,https://pm.gc.ca/en/parliamentary-secretaries
Catherine McKenna,Catherine McKenna,https://pm.gc.ca/en/parliamentary-secretaries
Bardish Chagger,Bardish Chagger,https://pm.gc.ca/en/parliamentary-secretaries
Bernadette Jordan,Bernadette Jordan,https://pm.gc.ca/en/parliamentary-secretaries
Ginette Petitpas Taylor,Ginette Petitpas,https://pm.gc.ca/en/parliamentary-secretaries
Jane Philpott,Jane Philpott,https://pm.gc.ca/en/parliamentary-secretaries
Kirsty Duncan,Kirsty Duncan,https://pm.gc.ca/en/parliamentary-secretaries
Bill Morneau,Bill Morneau,https://pm.gc.ca/en/parliamentary-secretaries
Filomena Tassi,Filomena Tassi,https://pm.gc.ca/en/parliamentary-secretaries
David Lametti,David Lametti,https://pm.gc.ca/en/parliamentary-secretaries
Patty Hajdu,Patty Hajdu,https://pm.gc.ca/en/parliamentary-secretaries
Harjit Sajjan,Harjit Sajjan,https://pm.gc.ca/en/parliamentary-secretaries
Kent Hehr,Kent Hehr,https://pm.gc.ca/en/parliamentary-secretaries
Lawrence MacAulay,Lawrence MacAulay,https://pm.gc.ca/en/parliamentary-secretaries
Seamus O'Regan,Seamus O'Regan,https://pm.gc.ca/en/parliamentary-secretaries
Carla Qualtrough,Carla Qualtrough,https://pm.gc.ca/en/parliamentary-secretaries
Carolyn Bennett,Carolyn Bennett,https://pm.gc.ca/en/parliamentary-secretaries
Dominic LeBlanc,Dominic LeBlanc,https://pm.gc.ca/en/parliamentary-secretaries
Ahmed Hussen,Ahmed Hussen,https://pm.gc.ca/en/parliamentary-secretaries
Amarjeet Sohi,Amarjeet Sohi,https://pm.gc.ca/en/parliamentary-secretaries
Mona Fortier,Mona Fortier,https://pm.gc.ca/en/parliamentary-secretaries
John McCallum,John McCallum,https://pm.gc.ca/en/parliamentary-secretaries
Randy Boissonnault,Randy Boissonnault,https://pm.gc.ca/en/parliamentary-secretaries
Pablo Rodriguez,Pablo Rodriguez,https://pm.gc.ca/en/parliamentary-secretaries
Marie-Claude Bibeau,Marie-Claude Bibeau,https://pm.gc.ca/en/parliamentary-secretaries
James Edelman,James Edelman,https://www.hcourt.gov.au/justices/about-the-justices
Brendan Murphy,Brendan Murphy,https://www.hcourt.gov.au/justices/about-the-justices
Stephen Gageler,Stephen Gageler,https://www.hcourt.gov.au/justices/about-the-justices
Patrick Keane,Patrick Keane,https://www.hcourt.gov.au/justices/about-the-justices
Michelle Gordon,Michelle Gordon,https://www.hcourt.gov.au/justices/about-the-justices
Virginia Bell,Virginia Bell,https://www.hcourt.gov.au/justices/about-the-justices
Geoffrey Nettle,Geoffrey Nettle,https://www.hcourt.gov.au/justices/about-the-justices
Simon France,Simon France,https://www.hcourt.gov.au/justices/about-the-justices
The Hon Justice Michael Wigney,Justice Wigney,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Robert Beech-Jones,Robert Beech-Jones,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Robert Bromwich,JusticeRobert Bromwich,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Jayne Jagot,Justice Jagot,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Nye Perram,Justice Perram,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Geoffrey Nettle,Justice Nettle,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Richard White,Justice White,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Michelle Gordon,Michelle Gordon,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice James Edelman,Justice Edelman,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Hon Justice Simon Steward,Simon Steward,https://www.fedcourt.gov.au/about/judges/current-judges-appointment
The Honourable Justice Robert Beech-Jones,JusticeRobert Beech-Jones,https://www.fcfcoa.gov.au/Judges
His Honour Judge John Middleton,John Middleton,https://www.fcfcoa.gov.au/Judges
His Honour Judge Robert Mitchell,Robert Mitchell,https://www.fcfcoa.gov.au/Judges
His Honour Judge David Hammerschlag,QCDavid Hammerschlag,https://www.fcfcoa.gov.au/Judges
His Honour Judge Phillip Coish,Phillip Coish,https://www.fcfcoa.gov.au/Judges
Her Honour Judge Julia McKechnie,Julia McKechnie,https://www.fcfcoa.gov.au/Judges
Her Honour Judge Carolyn Simpson,Carolyn Simpson,https://www.fcfcoa.gov.au/Judges
His Honour Judge Stephen Walmsley,Stephen Walmsley,https://www.fcfcoa.gov.au/Judges
His Honour Judge Neil Tyler,Neil Tyler,https://www.fcfcoa.gov.au/Judges
His Honour Judge Peter Kidd,Peter Kidd,https://www.fcfcoa.gov.au/Judges
Mark Binskin,Mark Binskin,https://www.airforce.gov.au/our-people/our-leaders
John Howard,John Howard,https://www.airforce.gov.au/our-people/our-leaders
Rodney Cavalier,Rodney Cavalier,https://www.airforce.gov.au/our-people/our-leaders
David Hurley,David Hurley,https://www.airforce.gov.au/our-people/our-leaders
Peter Schulz,Peter Schulz,https://www.airforce.gov.au/our-people/our-leaders
Ronny Johnston,Ronny Johnston,https://www.airforce.gov.au/our-people/our-leaders
Ross Garnaut,Ross Garnaut,https://www.airforce.gov.au/our-people/our-leaders
Michael Keating,Michael Keating,https://www.airforce.gov.au/our-people/our-leaders
Quentin Bryce,Quentin Bryce,https://www.airforce.gov.au/our-people/our-leaders
Tony Abbott,Tony Abbott,https://www.airforce.gov.au/our-people/our-leaders
Angus Houston,Angus Houston,https://www.airforce.gov.au/our-people/our-leaders
Peter Cosgrove,Peter Cosgrove,https://www.airforce.gov.au/our-people/our-leaders
Robert Hill,Robert Hill,https://www.airforce.gov.au/our-people/our-leaders
Phil Gaetjens,Phil Gaetjens,https://www.airforce.gov.au/our-people/our-leaders
Mark Vaile,Mark Vaile,https://www.airforce.gov.au/our-people/our-leaders
Darren Chester,Darren Chester,https://www.airforce.gov.au/our-people/our-leaders
Malcolm Turnbull,Malcolm Turnbull,https://www.airforce.gov.au/our-people/our-leaders
Geoff Brown,Geoff Brown,https://www.airforce.gov.au/our-people/our-leaders
Peter leahy,Peter leahy,https://www.airforce.gov.au/our-people/our-leaders
John (Wes) Carter,John Carter,https://www.airforce.gov.au/our-people/our-leaders
Warren snowdon,Warren snowdon,https://www.airforce.gov.au/our-people/our-leaders
Kelvin Davis,Kelvin Davis,https://www.airforce.gov.au/our-people/our-leaders
Peter Reith,Peter Reith,https://www.airforce.gov.au/our-people/our-leaders
Neil James,Neil James,https://www.airforce.gov.au/our-people/our-leaders
Simon Crean,Simon Crean,https://www.airforce.gov.au/our-people/our-leaders
Paul Keating,Paul Keating,https://www.airforce.gov.au/our-people/our-leaders
Catherine Roberts,Catherine Roberts,https://www.airforce.gov.au/our-people/our-leaders
John Davies,John Davies,https://www.airforce.gov.au/our-people/our-leaders
Kevin Rudd,Kevin Rudd,https://www.airforce.gov.au/our-people/our-leaders
John Blackburn,John Blackburn,https://www.airforce.gov.au/our-people/our-leaders
Robert McClelland,Robert McClelland,https://www.airforce.gov.au/our-people/our-leaders
William Dargie,William Dargie,https://www.airforce.gov.au/our-people/our-leaders
Ray Griggs,Ray Griggs,https://www.airforce.gov.au/our-people/our-leaders
Wayne Swan,Wayne Swan,https://www.airforce.gov.au/our-people/our-leaders
John Rogers,John Rogers,https://www.airforce.gov.au/our-people/our-leaders
Stephen Smith,Stephen Smith,https://www.airforce.gov.au/our-people/our-leaders
Malcom Davis,Malcom Davis,https://www.airforce.gov.au/our-people/our-leaders
Leo Davies,Leo Davies,https://www.airforce.gov.au/our-people/our-leaders
Chris Barrie,Chris Barrie,https://www.airforce.gov.au/our-people/our-leaders
Lindsay Tanner,Lindsay Tanner,https://www.airforce.gov.au/our-people/our-leaders
Tony Kevin,Tony Kevin,https://www.airforce.gov.au/our-people/our-leaders
Admiral Timothy Barrett AOB,Timothy Barrett,https://www.navy.gov.au/our-people/biographies
Major General Paul McLachlan AM,Paul McLachlan,https://www.army.gov.au/our-people/army-leadership
Lieutenant General Angus Campbell DSC AM,Angus Campbell,https://www.army.gov.au/our-people/army-leadership
Air Marshal Mel Hupfeld AO DSC,Mel Hupfeld,https://www.army.gov.au/our-people/army-leadership
Major General Paul Richard NLM Beers AO,Paul Beers,https://www.army.gov.au/our-people/army-leadership
Major General John Frewen AO,John Frewen,https://www.army.gov.au/our-people/army-leadership
Major General Greg Bilton AM,Greg Bilton,https://www.army.gov.au/our-people/army-leadership
Lieutenant General Greg Bilton AM,Greg Bilton,https://www.army.gov.au/our-people/army-leadership
Vice Admiral David Johnston AO RAN,AdmiralofthisstringAdmiralDavidJohnstonRANAdmiral Johnston,https://www.army.gov.au/our-people/army-leadership
Mr Darren Chester,Darren Chester,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Terri Butler,Terri Butler,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Michael Keenan,Michael Keenan,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Brendan O'Connor,Brendan O'Connor,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Ms Linda Reynolds,Linda Reynolds,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Barnaby Joyce,Barnaby Joyce,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Alan Tudge,Alan Tudge,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr George Christensen,George Christensen,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
The Hon. Alexander Downer,Alexander Downer,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Bob Katter,Bob Katter,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Angus Taylor,Angus Taylor,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Ms Mercedes Ruehl,Mercedes Ruehl,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Scott Morrison,Scott Morrison,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Dan Tehan,Dan Tehan,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Ms Julie Bishop,Julie Bishop,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Josh Frydenberg,Josh Frydenberg,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Andrew Hastie,Andrew Hastie,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Ms Frances Adamson,Frances Adamson,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Shayne Neumann,Shayne Neumann,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Steve Ciobo,Steve Ciobo,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Ms Tanya Plibersek,Tanya Plibersek,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Peter Dutton,Peter Dutton,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr John McVeigh,John McVeigh,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Greg Hunt,Greg Hunt,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Senator the Hon. James McGrath,James McGrath,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
0 Mr, Mr,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Andrew Laming,Andrew Laming,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr David Gillespie,David Gillespie,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Richard Maude,Richard Maude,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Senator the Hon. Mitch Fifield,Mitch Fifield,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Bill Shorten,Bill Shorten,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Kevin Hogan,Kevin Hogan,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Joel Fitzgibbon,Joel Fitzgibbon,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Tony Pasin,Tony Pasin,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Christian Porter,Christian Porter,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr David Coleman,David Coleman,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Keith Pitt,Keith Pitt,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Keith Roberts,Keith Roberts,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Tim Wilson,Tim Wilson,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Senator the Hon. Mathias Cormann,Mathias Cormann,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Damian Drum,Damian Drum,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Malcolm Turnbull,Malcolm Turnbull,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr David Littleproud,David Littleproud,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Sussan Ley,Sussan Ley,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Michael Sukkar,Michael Sukkar,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Angus McArthur,Angus McArthur,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Brendan Nelson,Brendan Nelson,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Craig Laundy,Craig Laundy,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Jason Wood,Jason Wood,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Mr Michael McCormack,Michael McCormack,https://www.dfat.gov.au/about-us/our-people/homs/australian-ambassadors-and-other-representatives
Alderman Peter Estlin,AldermanPeterEstlinPeter Estlin,https://www.lordmayors.org/
The Rt Hon the Lord Mayor of Westminster,FirstName LastNameWestminster,https://www.lordmayors.org/
The Rt Hon the Lord Mayor of London,FirstNameRt LastNameLondon,https://www.lordmayors.org/
Jane Doe,Jane Doe,https://www.transparency.gov.au/annual-reports/asc-pty-ltd/reporting-year/2019-20-10
Mary Smith,Mary Smith,https://www.transparency.gov.au/annual-reports/asc-pty-ltd/reporting-year/2019-20-10
Bob Smith,Bob Smith,https://www.transparency.gov.au/annual-reports/asc-pty-ltd/reporting-year/2019-20-10
John Doe,John Doe,https://www.transparency.gov.au/annual-reports/asc-pty-ltd/reporting-year/2019-20-10
高橋 一郎,高橋 一郎,https://www.kunaicho.go.jp/e-about/history/history02.html
鈴木 一郎,鈴木 一郎,https://www.kunaicho.go.jp/e-about/history/history02.html
渡辺 謙,渡辺 謙,https://www.kunaicho.go.jp/e-about/history/history02.html
大石正義,大石正義,https://www.kunaicho.go.jp/e-about/history/history02.html
安倍 晋三,安倍 晋三,https://www.kunaicho.go.jp/e-about/history/history02.html
加藤 太郎,加藤 太郎,https://www.kunaicho.go.jp/e-about/history/history02.html
田中 太郎,田中 太郎,https://www.kunaicho.go.jp/e-about/history/history02.html
山本 太郎,山本 太郎,https://www.kunaicho.go.jp/e-about/history/history02.html
佐藤 太郎,佐藤 太郎,https://www.kunaicho.go.jp/e-about/history/history02.html
小泉 純一郎,小泉 純一郎,https://www.kunaicho.go.jp/e-about/history/history02.html
Abe Yoshitaka,Abe Yoshitaka,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Zenjiro,Abe Zenjiro,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Zenko,Abe Zenko,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Yoko,Abe Yoko,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Yoshiyuki,Abe Yoshiyuki,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Shigeru,Abe Shigeru,https://www.kunaicho.go.jp/e-about/history/history.html
Akeyuki Kazuo,Akeyuki Kazuo,https://www.kunaicho.go.jp/e-about/history/history.html
Amari Akira,Amari Akira,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Yoshio,Abe Yoshio,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Yoshihide,Abe Yoshihide,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Shinzo,Abe Shinzo,https://www.kunaicho.go.jp/e-about/history/history.html
Abe Yoshimi,Abe Yoshimi,https://www.kunaicho.go.jp/e-about/history/history.html
